StudyHours	GPA
0.5	1.9
1	2.3
4	2.3
5	2.4
1.5	2.5
4	2.5
3	2.5
6	2.5
2	2.5
1.5	2.7
2	2.7
5	2.77
2	2.78
4	2.8
2	2.8
4	2.8
4	2.8
3	2.8
0.25	2.83
5	2.9
2	2.94
5.5	2.94
3	3
5	3
2	3
5	3
2	3
4.5	3
3	3
3.5	3
7	3
4	3
4	3.05
3.5	3.1
1	3.2
2	3.2
3.5	3.2
4	3.2
3	3.25
3.5	3.3
4	3.3
5	3.3
7	3.4
6	3.4
4.5	3.4
7	3.4
5	3.4
7	3.44
4	3.45
3.5	3.48
8	3.49
6	3.5
5	3.5
3	3.5
3	3.5
4	3.5
3	3.5
2	3.5
4	3.55
8	3.58
2	3.6
4	3.6
2	3.67
2	3.7
5	3.7
3	3.71
4.5	3.74
1.5	3.75
3	3.75
8	3.83
7	3.87
8	3.9
2	3.9
4	3.92
5	3.92
4	3.94
4	3.96
6	3.98
6	3.98
3.5	4
