overall rating	handles complaints	no special	too critical	advance	oppty to learn	perform raises
43	51	30	92	45	39	61
63	64	51	73	47	54	63
71	70	68	86	48	69	76
61	63	45	84	35	47	54
81	78	56	83	47	66	71
43	55	49	49	34	44	54
58	67	42	68	35	56	66
71	75	50	66	41	55	70
72	82	72	83	31	67	71
67	61	45	80	41	47	62
64	53	53	67	34	58	58
67	60	47	74	41	39	59
69	62	57	63	25	42	55
68	83	83	77	35	45	59
77	77	54	77	46	72	79
81	90	50	54	36	72	60
74	85	64	79	63	69	79
65	60	65	80	60	75	55
65	70	46	85	46	57	75
50	58	68	78	52	54	64
50	40	33	64	33	34	43
64	61	52	80	41	62	66
53	66	52	80	37	50	63
40	37	42	57	49	58	50
63	54	42	75	33	48	66
66	77	66	76	72	63	88
78	75	58	78	49	74	80
48	57	44	83	38	45	51
85	85	71	74	55	71	77
82	82	39	78	39	59	64
